98922941 function calls (84103311 primitive calls) in 94.514 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6192    0.025    0.000    0.113    0.000 core.py:1578(make_mask)
      812    0.024    0.000    0.052    0.000 city_util.py:64(city_contains_meeples)
     4466    0.024    0.000    0.083    0.000 transforms.py:1622(transform_path_non_affine)
    52184    0.024    0.000    0.024    0.000 _base.py:840(<genexpr>)
   159437    0.024    0.000    0.024    0.000 {method 'append' of 'collections.deque' objects}
    10709    0.024    0.000    0.043    0.000 text.py:1249(set_verticalalignment)
     8145    0.024    0.000    0.131    0.000 artist.py:1090(set_label)
    29718    0.024    0.000    0.024    0.000 {method 'count' of 'str' objects}
      979    0.024    0.000    0.051    0.000 road_util.py:69(road_contains_meeples)
    17335    0.024    0.000    0.078    0.000 _base.py:554(_axis_map)
    12369    0.024    0.000    1.218    0.000 lines.py:1034(get_path)
    18886    0.024    0.000    0.113    0.000 transforms.py:2265(get_affine)
     6249    0.024    0.000    0.106    0.000 text.py:985(set_color)
3324/2890    0.024    0.000    0.586    0.000 _base.py:3622(get_xlim)
     4608    0.024    0.000    0.054    0.000 transforms.py:2748(__init__)
     4640    0.023    0.000    0.065    0.000 _base.py:3644(_validate_converted_limits)
    16848    0.023    0.000    0.023    0.000 core.py:1306(_replace_dtype_fields_recursive)
     1738    0.023    0.000    0.072    0.000 _base.py:4364(get_children)
      282    0.023    0.000    0.059    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    57173    0.023    0.000    0.023    0.000 farmer_connection.py:8(__init__)
     2454    0.023    0.000   44.175    0.018 carcassonne_game.py:31(step)
     5657    0.023    0.000    0.328    0.000 text.py:1306(set_fontproperties)
     1633    0.023    0.000    0.280    0.000 road_util.py:93(find_roads)
    12133    0.023    0.000    0.041    0.000 lines.py:1360(set_dash_joinstyle)
      135    0.022    0.000    0.022    0.000 {built-in method torch.isnan}
    30672    0.022    0.000    0.112    0.000 tile_fitter.py:104(fits)
      202    0.022    0.000    0.022    0.000 {built-in method torch.stack}
17023/16879    0.022    0.000    0.194    0.000 transforms.py:1792(transform)
3322/3178    0.022    0.000    0.269    0.000 _base.py:3875(get_ylim)
